seed,layer,event,window_idx,time_ms
0,1,TTNet,0,213.9559
0,1,TTNet,1,207.4854
0,1,TTNet,2,211.8943
0,1,TTNet,3,206.3363
0,1,TTNet,4,207.0777
0,1,TTNet,5,208.5733
0,1,TTNet,6,208.1461
0,1,TTNet,7,209.3434
0,1,TTNet,8,208.0131
0,1,TTNet,9,205.7168
0,1,TTNet,10,205.7021
0,1,TTNet,11,206.6019
0,1,TTNet,12,209.0576
0,1,TTNet,13,205.1663
0,1,TTNet,14,204.4449
0,1,TTNet,15,204.3664
0,1,TTNet,16,207.0899
0,1,TTNet,17,207.9182
0,1,TTNet,18,213.8631
0,1,TTNet,19,203.9025
0,1,TTNet,20,208.1304
0,1,TTNet,21,204.5093
0,1,TTNet,22,208.7545
0,1,TTNet,23,204.4985
0,1,TTNet,24,208.3614
0,1,TTNet,25,206.2352
0,1,TTNet,26,207.2461
0,1,TTNet,27,206.0454
0,1,TTNet,28,205.0459
0,1,TTNet,29,203.1839
0,1,TTNet,30,204.3638
0,1,TTNet,31,208.4849
0,1,TTNet,32,205.6742
0,1,TTNet,33,205.5516
0,1,TTNet,34,205.0979
0,1,TTNet,35,204.4277
0,1,TTNet,36,207.0539
0,1,TTNet,37,204.958
0,1,TTNet,38,204.9429
0,1,TTNet,39,203.3095
0,1,TTNet,40,205.7269
0,1,TTNet,41,203.64
0,1,TTNet,42,206.2936
0,1,TTNet,43,204.4194
0,1,TTNet,44,205.668
0,1,TTNet,45,204.4685
0,1,TTNet,46,205.3406
0,1,TTNet,47,202.0938
0,1,TTNet,48,204.7906
0,1,TTNet,49,204.6039
0,1,TTNet,50,206.3837
0,1,IndoSat,0,511.941
0,1,IndoSat,1,516.1486
0,1,IndoSat,2,507.5529
0,1,IndoSat,3,511.7395
0,1,IndoSat,4,507.9231
0,1,IndoSat,5,520.0872
0,1,IndoSat,6,503.4351
0,1,IndoSat,7,509.5229
0,1,IndoSat,8,510.4861
0,1,IndoSat,9,511.3699
0,1,IndoSat,10,504.2734
0,1,IndoSat,11,507.1614
0,1,IndoSat,12,522.6583
0,1,IndoSat,13,518.7128
0,1,IndoSat,14,502.9011
0,1,IndoSat,15,519.6867
0,1,IndoSat,16,504.4515
0,1,IndoSat,17,512.2802
0,1,IndoSat,18,516.5033
0,1,IndoSat,19,518.2319
0,1,IndoSat,20,506.1119
0,1,IndoSat,21,508.6548
0,1,IndoSat,22,499.2087
0,1,IndoSat,23,504.0777
0,1,IndoSat,24,506.2344
0,1,IndoSat,25,505.8892
0,1,IndoSat,26,505.0869
0,1,IndoSat,27,512.3951
0,1,IndoSat,28,499.3532
0,1,IndoSat,29,503.0968
0,1,IndoSat,30,505.2593
0,1,IndoSat,31,504.5543
0,1,IndoSat,32,502.4264
0,1,IndoSat,33,513.8273
0,1,IndoSat,34,502.9223
0,1,IndoSat,35,509.8972
0,1,IndoSat,36,508.9157
0,1,IndoSat,37,514.1957
0,1,IndoSat,38,507.112
0,1,IndoSat,39,510.829
0,1,IndoSat,40,501.7526
0,1,IndoSat,41,509.1522
0,1,IndoSat,42,518.3027
0,1,IndoSat,43,503.2191
0,1,IndoSat,44,502.054
0,1,IndoSat,45,506.5541
0,1,IndoSat,46,503.778
0,1,IndoSat,47,505.9521
0,1,IndoSat,48,513.1664
0,1,IndoSat,49,509.1631
0,1,IndoSat,50,513.4783
0,1,TM,0,558.3227
0,1,TM,1,566.4647
0,1,TM,2,566.6201
0,1,TM,3,572.5684
0,1,TM,4,560.7591
0,1,TM,5,572.4902
0,1,TM,6,560.2632
0,1,TM,7,570.461
0,1,TM,8,560.8256
0,1,TM,9,556.2422
0,1,TM,10,559.0186
0,1,TM,11,560.6303
0,1,TM,12,562.9673
0,1,TM,13,559.9699
0,1,TM,14,562.464
0,1,TM,15,566.1047
0,1,TM,16,557.869
0,1,TM,17,559.9453
0,1,TM,18,565.1667
0,1,TM,19,556.8135
0,1,TM,20,559.02
0,1,TM,21,568.6629
0,1,TM,22,560.1153
0,1,TM,23,558.2178
0,1,TM,24,562.9241
0,1,TM,25,561.7571
0,1,TM,26,563.7128
0,1,TM,27,564.0459
0,1,TM,28,562.0356
0,1,TM,29,553.8676
0,1,TM,30,558.0058
0,1,TM,31,557.1904
0,1,TM,32,556.7915
0,1,TM,33,555.2442
0,1,TM,34,564.4841
0,1,TM,35,553.7975
0,1,TM,36,557.0986
0,1,TM,37,554.5154
0,1,TM,38,557.7524
0,1,TM,39,568.7706
0,1,TM,40,560.7197
0,1,TM,41,556.5152
0,1,TM,42,563.669
0,1,TM,43,561.6026
0,1,TM,44,570.6897
0,1,TM,45,557.1389
0,1,TM,46,558.6662
0,1,TM,47,557.7857
0,1,TM,48,555.1493
0,1,TM,49,552.6967
0,1,TM,50,553.8847
0,1,AWS,0,588.5775
0,1,AWS,1,588.9058
0,1,AWS,2,595.927
0,1,AWS,3,595.5913
0,1,AWS,4,589.299
0,1,AWS,5,597.0905
0,1,AWS,6,588.31
0,1,AWS,7,598.7296
0,1,AWS,8,602.2992
0,1,AWS,9,588.8057
0,1,AWS,10,588.1107
0,1,AWS,11,599.9935
0,1,AWS,12,582.0589
0,1,AWS,13,582.5317
0,1,AWS,14,588.9325
0,1,AWS,15,586.6721
0,1,AWS,16,583.4103
0,1,AWS,17,585.4762
0,1,AWS,18,584.2817
0,1,AWS,19,580.5292
0,1,AWS,20,585.4125
0,1,AWS,21,582.1524
0,1,AWS,22,582.2608
0,1,AWS,23,589.1898
0,1,AWS,24,585.501
0,1,AWS,25,584.0423
0,1,AWS,26,585.3286
0,1,AWS,27,584.3523
0,1,AWS,28,582.9587
0,1,AWS,29,585.4926
0,1,AWS,30,579.1783
0,1,AWS,31,587.3699
0,1,AWS,32,589.9296
0,1,AWS,33,587.1108
0,1,AWS,34,589.3605
0,1,AWS,35,590.3904
0,1,AWS,36,582.5655
0,1,AWS,37,581.2178
0,1,AWS,38,591.9893
0,1,AWS,39,585.9418
0,1,AWS,40,586.05
0,1,AWS,41,590.9433
0,1,AWS,42,592.5066
0,1,AWS,43,588.1956
0,1,AWS,44,588.5878
0,1,AWS,45,583.041
0,1,AWS,46,585.1204
0,1,AWS,47,587.3125
0,1,AWS,48,585.3205
0,1,AWS,49,589.7937
0,1,AWS,50,583.1316
0,1,Google,0,657.7644
0,1,Google,1,651.4754
0,1,Google,2,654.0284
0,1,Google,3,657.9998
0,1,Google,4,642.5121
0,1,Google,5,648.7694
0,1,Google,6,641.3722
0,1,Google,7,646.785
0,1,Google,8,644.8898
0,1,Google,9,650.5477
0,1,Google,10,636.5302
0,1,Google,11,646.8754
0,1,Google,12,637.0363
0,1,Google,13,649.5681
0,1,Google,14,638.4306
0,1,Google,15,645.0598
0,1,Google,16,638.9215
0,1,Google,17,636.8215
0,1,Google,18,639.4093
0,1,Google,19,648.3188
0,1,Google,20,642.1847
0,1,Google,21,641.8793
0,1,Google,22,634.9351
0,1,Google,23,640.4636
0,1,Google,24,635.6122
0,1,Google,25,634.2745
0,1,Google,26,633.4515
0,1,Google,27,634.0697
0,1,Google,28,636.0126
0,1,Google,29,632.5231
0,1,Google,30,636.5328
0,1,Google,31,637.4454
0,1,Google,32,632.9627
0,1,Google,33,641.2373
0,1,Google,34,635.0782
0,1,Google,35,635.3395
0,1,Google,36,641.335
0,1,Google,37,640.625
0,1,Google,38,644.6185
0,1,Google,39,646.9769
0,1,Google,40,636.5576
0,1,Google,41,642.3447
0,1,Google,42,641.1908
0,1,Google,43,640.9912
0,1,Google,44,637.0068
0,1,Google,45,637.8882
0,1,Google,46,636.565
0,1,Google,47,637.1183
0,1,Google,48,633.3802
0,1,Google,49,637.9893
0,1,Google,50,635.4144
0,1,ChinaTelecom,0,713.089
0,1,ChinaTelecom,1,725.3108
0,1,ChinaTelecom,2,722.4331
0,1,ChinaTelecom,3,727.3653
0,1,ChinaTelecom,4,712.2331
0,1,ChinaTelecom,5,723.9764
0,1,ChinaTelecom,6,718.7686
0,1,ChinaTelecom,7,714.4978
0,1,ChinaTelecom,8,715.0331
0,1,ChinaTelecom,9,726.0942
0,1,ChinaTelecom,10,712.3094
0,1,ChinaTelecom,11,732.0969
0,1,ChinaTelecom,12,716.2488
0,1,ChinaTelecom,13,707.8929
0,1,ChinaTelecom,14,711.9052
0,1,ChinaTelecom,15,709.6527
0,1,ChinaTelecom,16,717.505
0,1,ChinaTelecom,17,726.0323
0,1,ChinaTelecom,18,729.4095
0,1,ChinaTelecom,19,722.4681
0,1,ChinaTelecom,20,706.99
0,1,ChinaTelecom,21,717.0532
0,1,ChinaTelecom,22,714.2723
0,1,ChinaTelecom,23,715.6565
0,1,ChinaTelecom,24,713.0773
0,1,ChinaTelecom,25,716.3701
0,1,ChinaTelecom,26,705.4238
0,1,ChinaTelecom,27,704.7074
0,1,ChinaTelecom,28,702.7476
0,1,ChinaTelecom,29,708.4439
0,1,ChinaTelecom,30,705.2605
0,1,ChinaTelecom,31,710.6757
0,1,ChinaTelecom,32,708.4153
0,1,ChinaTelecom,33,703.9099
0,1,ChinaTelecom,34,703.0554
0,1,ChinaTelecom,35,706.2762
0,1,ChinaTelecom,36,710.5279
0,1,ChinaTelecom,37,706.0859
0,1,ChinaTelecom,38,710.4931
0,1,ChinaTelecom,39,711.8607
0,1,ChinaTelecom,40,705.6236
0,1,ChinaTelecom,41,713.2945
0,1,ChinaTelecom,42,706.5806
0,1,ChinaTelecom,43,710.5918
0,1,ChinaTelecom,44,708.1034
0,1,ChinaTelecom,45,705.5514
0,1,ChinaTelecom,46,702.9223
0,1,ChinaTelecom,47,706.3749
0,1,ChinaTelecom,48,705.6596
0,1,ChinaTelecom,49,707.9375
0,1,ChinaTelecom,50,705.1909
0,1,India,0,797.2057
0,1,India,1,794.2467
0,1,India,2,789.6612
0,1,India,3,789.7885
0,1,India,4,794.9526
0,1,India,5,806.3757
0,1,India,6,791.486
0,1,India,7,785.5072
0,1,India,8,787.5457
0,1,India,9,792.8913
0,1,India,10,789.3097
0,1,India,11,797.4958
0,1,India,12,792.6655
0,1,India,13,778.5132
0,1,India,14,784.2233
0,1,India,15,781.7814
0,1,India,16,783.3743
0,1,India,17,780.7617
0,1,India,18,783.0412
0,1,India,19,783.8662
0,1,India,20,777.8482
0,1,India,21,779.1922
0,1,India,22,779.984
0,1,India,23,779.309
0,1,India,24,781.8375
0,1,India,25,782.423
0,1,India,26,782.6986
0,1,India,27,780.9916
0,1,India,28,780.9155
0,1,India,29,780.6463
0,1,India,30,780.225
0,1,India,31,780.4134
0,1,India,32,780.4563
0,1,India,33,799.1996
0,1,India,34,786.3867
0,1,India,35,786.7706
0,1,India,36,788.6827
0,1,India,37,801.5482
0,1,India,38,802.0031
0,1,India,39,786.1583
0,1,India,40,801.2223
0,1,India,41,787.0734
0,1,India,42,782.0172
0,1,India,43,786.5868
0,1,India,44,789.0694
0,1,India,45,787.6053
0,1,India,46,787.2458
0,1,India,47,791.7178
0,1,India,48,785.5699
0,1,India,49,800.2331
0,1,India,50,781.9223
